name,countryId
Al-Huda contracting Est Group 1st ,2
"ALI AL AJINAH EST,",2
ALI AL SANAN,2
Ali Al-Tarouti Sons Company,2
ALI FIRM,2
ALI HASSAN AL-DAHAN & PARTNER CO.LTD,2
ALI SALMAN ABUSHEEN CONTRACTING EST,2
ali12,2
AL-JAZEERA P.PRESS,2
AL-JAZEERA SERVICES CONTRACTING EST.,2
AL-JAZEERAHTECH.FURNITURE FACTORY,2
Aljazera Al Bina Co,2
AL-JERI GROUP,2
AL-KAABI TRADING ANDCONTARACTING,2
"Al-Khalifa Company for its owners, Mohammed and Abdulaziz Al-Khalifa for Trade and Contracting in Solidarity",2
AL-KHATAF,2
Al-Kuwari Trading,2
ALL SEASON GROUP W.L.L.,2
ALLIED STAR CONTRACTING COMPANY,2
Allied Star Contracting Company Limited  (308198),2
Allied Star Contracting Company Limited (308197),2
Al-Maasoub Engineering Company for Popular Foods,2
Almajal Advanced Services Co,2
ALMANA GENERAL HOSPITAL,2
AL-MARRI TRADING ESTABLISHMENT GROUP,2
AL-MUSALLAM TRANSPORT,2
AL-NAJM AL-THAQIB CONTRACTING CO. (297727),2
AL-NAJM AL-THAQIB CONTRACTING CO.( 305348),2
Al-Najm Al-Thaqib Contracting Company (Autosaved),2
Al-Nakha Al-Tamaa company to provide meals,2
AL-OMARI RESTURANTS TO SERVE MEALS,2
AL-OTHAIM AGRI. PROD,2
AL-OTHAIM REAL ESTATE INV. & DEV.CO.,2
AL-RABIE GENERAL CONTACTING,2
Al-Rafaa Generations General Contracting Company,2
AL-RAFRAF TRASNSPORTATION CO LTD,2
AL-RAJHI PROPERTIES,2
ALRASHED-ABETONG,2
AL-RAWI ARABIAN,2
Alriyada Alsharqia Saudi Arabia Saudi Arabia (Eastern Pioneering General Contracting Corporation),2
AL-SADIQ HOSPITAL SEHAT,2
AL-SALEH GROUP OF TRADING CO.,2
Al-Sard Factory for Industry,2
ALSUWAIKET TRADING AND CONTRACTING,2
AL-TAYYAR TRAVEL GROUP,2
AL-THABIT ESTABLISHMENT FOR TRADING AND CONTRACTING,2
Al-Ukhdood Medical Co General Nurse (Female),2
Al-Ukhdood Medical Complex,2
AL-WADILAUNDRYFOR EXQUISITE CLOTHS CARE,2
Alwan General Contracting Company,2
alzad al tazaj company K.S.A,2
Al-Zaharani,2
AL-ZOMORD AL-ARABIA CONT.EST.,2
Amaar Alsharq Contracting   Company   KSA Group 20th,2
Amaco Arabia Contracting Company,2
AMAL MIX,2
Amal Saleh Mufdi Al Sharari Sweets and Nuts Foundation,2
Amar Advanced Sweets Company is a one person company,2
AMAR MOUSSA,2
AMARA LAUNDRY,2
Amazing car wash,2
Amr Moussa Nakheifi Coffee Roasters,2
Amr Moussa Nakhifi Coffee Roasters,2
AMSAY BAKERIES & GOLDEN LOAVES AUTOMATIC BAKERIES,2
AMTAR ALWTEN EST FOR CONTRACTING.,2
Anamel Building Contracting Est.,2
Anoud Salman Al-Anzi Feed Company,2
ANWAR FAISAL AL-MUTAIB,2
Anwar Faisal Mutab Al-Otaibi General Contracting Establishment,2
ANWAR TARIF CONTRACTING CO. LTD.( ATC,2
anwar tarif contracting company is a one person limited liability company,2
Arab Environment Factory for Paper Products,2
ARAB HOME GROUP,2
Arab Industrial Resources Contracting Company,2
Arab Pearl International Contracting Company,2
"Arab Pearl International Contracting Company, one person",2
Arab Refractories and Contracting Company Limited,2
Arab Street Café to serve drinks,2
ARABAIN MOTORS,2
ARABIAN AGRICULTURAL SERVICES CO.(ARASCO),2
Arabian Geophysical and Surveying Company,2
ARABIAN GULF CONSTRUCTION CO,2
ARABIAN GULF CONSTRUCTION CO FOR TRADING & CONTRACTING,2
ARABIAN REFECTORIES FACTORY CO. (HARARIYAT),2
ARABIAN SUPPLY & ARCHITECTURAL CONTRACTING COMPANY  LTD,2
ARABIAN SUPPLY & ARCHITECTURAL CONTRACTING LTD,2
ARABIC SUPPLY,2
Arai Specialized Chemicals Company,2
Arai Specialized Chemicals Company is a one person company,2
Architectural Roads Corporation for Operation and Maintenance,2
Arfad International Company is a one-person company,2
Arkan Yathrib Transport Corporation,2
ARMAD COMPANY,2
Asala Al Jazeera Cement Products Factory,2
Asalah Al Shorouk Manufacturing Factory,2
Ashraf Issa Ali Al Badn Contracting Est,2
Ashraf Issa Ali Al-Baden Contracting Est,2
Aslaa Al-Shorouq Manufacturing Factory,2
ASMA SEA FOOD RESTAURANT,2
Asrar Al Omda fast food restaurant,2
Asrar Al-Tayseer Foundation for Cars,2
ASRAR AL-TAYSER,2
ASYAD INTERNATIONAL COMPANY LIMITED ,2
Atmosphere Corporation for Car Services,2
Aufua restaurant for meals,2
Awan Hajar Est for household utensils CANCLES,2
AWTAD REAL ESTATE,2
AYAD M.AL-SHAMMARY EST GENERAL BUILDING CONTRACTING,2
AYNNAJM AL-MUBARRAZ,2
AZIZ EUROPEAN PIPE FACTORY,2
BADER M.AL-HAIDER CONTRACTING,2
Bait Al Nazeem Massage Center,2
"Bait Al-Bataen Factory Co., Ltd.",2
Baksha bakery establishment to serve drinks,2
Barakat Salti Foodstuff Est,2
BARBER CHILDREN SHOP COMPANY,2
Barber distinctive symbols for shaving,2
Bashir Mansour Al Qatari Contracting Est,2
BASIR MANSOUR,2
BAZBAZA INTERNATIONAL ESTABLISHMENT,2
Be Bread restaurant for serving meals,2
BEACON,2
BEACON OF EXCELLENCE EST GENERAL CONTRACTING EST,2
BEAUTIFUL RESTAURANTS,2
Beit Al makarem Fast Buffet,2
BEIT AL MAKAREM FAST FOOD BUFFET,2
Beit Al Nazeem Massage Centre,2
BELLALIE ENERGY ANS SPA,2
Better Care Foundation for decoration and polishing,2
Bin Hofan Contracting Company Group 25nd ( Muslim only),2
BINARY (A coffee shop for drinks),2
BINARY COFFEE SHOP FOR DRINKS,2
Black Star Catering,2
BLUE LINE,2
Blue Rays Contracting Company is a one-person company,2
Brew Language Café to serve drinks,2
BURDOG (HOTDOG),2
BURGER ORIGIN,2
Business Speed ​​Professional Corporation,2
Cafe Baqaa Doua for Beverage,2
Canned Beverage Factory Company One Person Company,2
Canned Beverage Factory Company One Person Company (Al-Jabr Group),2
CAPTAINE MARINE,2
Cedar Castle Restaurant for serving meals,2
CEDAR CASTLE RESTURANT FOR SERVING MEALS,2
CG CROP/ GLOBAL (UNITED TRADING CROP),2
Chicken Day restaurants to provide meals,2
Chicken Day restaurants to provide meals 05th,2
CHOCOLATE,2
CITY SANDWICH,2
CLIFF,2
COCO RESTURANT,2
Code car Maintenance Center( Kammar Al-Yamama co),2
COFFEE FLAVOR ( Nakhat Bin Company for providing drinks ),2
Cold Corporation for the sale of ice cream,2
Cold Store for the sale of ice cream,2
COMPLETE,2
CONVALLEY CO,2
Country taste restaurant to serve meals,2
COW RIBS  RESTAURANT TO SERVE MEALS,2
CRISPY MEAL..FAWZA FARHAN MESHAL ALSHAMMARI FAST FOOD RESTAURANT,2
Crystal Enterprises contracting company,2
DAJEN RESTAURANT CHAIN,2
Dalal Abdulhadi Attia Al-Anzi Café to serve drinks,2
Dammam Arabic Restaurant& Kitchen,2
DAMMAM DOME PLASTIC FACTORY CO.LTD. GROUP,2
DANIT ALQTAF COMPANY,2
DANTA Al-KHALEEJ CENTRE GROUP 06TH,2
Dark butterfly Meals Foundation,2
DARK ESTABLISMENT FOR SERVING MEALS,2
Dazzaz Sugar for packing and Paper,2
DEA'J YOUSHEF AL THAWAINI TRAD EST,2
DESTINATION COFFEE SHOP,2
DHAFER M AL ZLAIQ PARTNERS & GENERAL CONTRACTING CO.,2
DHAFER M. AL ZLAIQ&PARTENERSGENERAL CONT CO.,2
DIET FOOD ESTABLISHMENT,2
